Task Name,Bucket,Priority,Progress,Start Date,Due Date,Notes
"Set up HTML file with M3 design tokens",Setup,Important,Not started,,,"Scaffold base HTML with Material Web imports, import map for @material/web, blue M3 tonal palette (#1565c0), Roboto font, Material Symbols, and responsive viewport meta tag."
"Design color theme and tonal palette",Design,Important,Not started,,,"Section 5  Derive M3 tonal palette from blue base #1565c0. Neutral mood, light theme only."
"Design typography scale",Design,Medium,Not started,,,"Section 5  Roboto for both primary and display. Spacious density with generous padding."
"Build horizontal stepper component",Build,Urgent,Not started,,,"Section 6  Horizontal stepper showing 5 steps. Current step highlighted, completed steps show checkmark, clickable to revisit completed steps."
"Build Step 1  Personal Info form",Build,Urgent,Not started,,,"Section 2/4  Collect attendee details: full name, email, company, job title, dietary restrictions. Validation on required fields."
"Build Step 2  Session selection timeslot grid",Build,Urgent,Not started,,,"Section 2/4  Grid/table of conference sessions across time slots and tracks. Clickable cells toggle selection with highlight."
"Build Step 3  Ticket tier selector",Build,Urgent,Not started,,,"Section 2/4  Three ticket tiers (Student , Standard , VIP ) as radio-style cards. Only one selectable at a time."
"Build Step 3  Add-on checkboxes",Build,Important,Not started,,,"Section 4  Optional add-ons: Workshop Pass (), Networking Dinner extra guest (), Conference T-shirt (). Independent toggle."
"Build Step 4  Payment form",Build,Urgent,Not started,,,"Section 2/4  Credit card payment form with card number, expiry, CVC, cardholder name, billing address, city, state, ZIP. All required."
"Build Step 4  Order summary section",Build,Important,Not started,,,"Section 4  Sidebar/section showing selected ticket tier, add-ons, and total price alongside the payment form."
"Build Step 5  Confirmation page",Build,Urgent,Not started,,,"Section 2/4  Success checkmark icon, 'Registration Complete!' headline, summary of registration details, Add to Calendar button."
"Implement step transitions and animations",Build,Important,Not started,,,"Section 6  Fade/slide transitions between steps. Hover effects on buttons, cards, and selectable cells. Stepper state change transitions."
"Implement form validation error states",Build,Important,Not started,,,"Section 6  Red outlines and error text on required fields when empty. Validate before allowing step advancement."
"Implement Next/Back navigation logic",Build,Urgent,Not started,,,"Section 6  Next button validates and advances. Back button returns to previous step. Linear flow Step 1 through Step 5."
"Inject feedback review modal",Build,Medium,Not started,,,"Section 8  Include the feedback modal overlay as specified in delivery requirements."
"Implement responsive breakpoints",QA,Important,Not started,,,"Section 7  Desktop (840px+): centered card max 720px, full stepper labels. Tablet (600-839px): abbreviated labels, horizontal scroll on grid. Mobile (<600px): step numbers only, stacked fields, summary above payment form."
"Final review and browser testing",QA,Important,Not started,,,"End-to-end walkthrough of all 5 steps in Chrome, Edge, and Firefox. Verify all interactions, transitions, and responsive behavior."
"Accessibility check",QA,Important,Not started,,,"WCAG 2.1 Level A and AA audit. Check color contrast, keyboard navigation through stepper and forms, ARIA labels, focus management on step transitions."